Rank,Optimization_Score,X,Y,Z,C,Avg_Successful_Players,Avg_Collision_Size,Avg_Contender_Count,Log_Subdir,Log_File_ID
58,3.3500,2,4,1,1,4.6000,0.5200,9.2700,C1_Z1_X2_Y4,competition_0_log.txt
59,3.3400,5,7,3,1,4.7400,0.3700,8.9700,C1_Z3_X5_Y7,competition_0_log.txt
60,3.3300,5,6,1,2,4.9000,0.4000,8.8300,C2_Z1_X5_Y6,competition_0_log.txt
61,3.3300,5,6,1,3,4.6100,0.4800,9.2000,C3_Z1_X5_Y6,competition_0_log.txt
62,3.3200,3,7,1,1,4.8000,0.5600,9.0800,C1_Z1_X3_Y7,competition_0_log.txt
63,3.3100,4,6,3,1,4.7300,0.4100,8.9900,C1_Z3_X4_Y6,competition_0_log.txt
64,3.3000,4,5,1,2,4.5800,0.3500,9.0700,C2_Z1_X4_Y5,competition_0_log.txt
65,3.2700,4,5,1,1,4.8500,0.4200,8.8400,C1_Z1_X4_Y5,competition_0_log.txt
66,3.2500,3,5,1,2,4.5600,0.5500,9.2400,C2_Z1_X3_Y5,competition_0_log.txt
67,3.2400,5,7,4,2,4.5300,0.3600,9.0700,C2_Z4_X5_Y7,competition_0_log.txt
68,3.2400,4,7,3,3,4.7500,0.5200,9.0100,C3_Z3_X4_Y7,competition_0_log.txt
69,3.2300,4,5,3,2,4.5300,0.5200,9.2200,C2_Z3_X4_Y5,competition_0_log.txt
70,3.2300,4,6,2,1,4.6900,0.5600,9.1000,C1_Z2_X4_Y6,competition_0_log.txt
71,3.1800,2,3,1,2,4.4900,0.7900,9.4800,C2_Z1_X2_Y3,competition_0_log.txt
72,3.1800,2,4,1,2,4.3800,0.6700,9.4700,C2_Z1_X2_Y4,competition_0_log.txt
73,3.1800,4,6,3,3,4.2800,0.4300,9.3300,C3_Z3_X4_Y6,competition_0_log.txt
74,3.1700,2,3,1,1,4.6600,0.7400,9.2500,C1_Z1_X2_Y3,competition_0_log.txt
75,3.1400,3,4,1,1,4.9300,0.5200,8.7300,C1_Z1_X3_Y4,competition_0_log.txt
76,3.1200,3,4,2,1,4.8000,0.6500,8.9700,C1_Z2_X3_Y4,competition_0_log.txt
77,3.1100,4,6,2,2,4.7400,0.9600,9.3300,C2_Z2_X4_Y6,competition_0_log.txt
78,3.0900,5,6,1,1,4.9000,0.1900,8.3800,C1_Z1_X5_Y6,competition_0_log.txt
79,3.0800,5,6,3,1,4.8400,0.3100,8.5500,C1_Z3_X5_Y6,competition_0_log.txt
80,3.0800,4,5,3,1,4.7000,0.4500,8.8300,C1_Z3_X4_Y5,competition_0_log.txt
81,3.0500,5,7,2,2,4.6400,0.3100,8.7200,C2_Z2_X5_Y7,competition_0_log.txt
82,2.9900,5,7,2,1,4.8900,0.4000,8.5000,C1_Z2_X5_Y7,competition_0_log.txt
83,2.9700,4,6,1,3,4.4700,0.5500,9.0500,C3_Z1_X4_Y6,competition_0_log.txt
84,2.9500,3,5,2,1,4.8000,0.6000,8.7500,C1_Z2_X3_Y5,competition_0_log.txt
85,2.9200,5,7,1,2,4.7800,0.4300,8.5700,C2_Z1_X5_Y7,competition_0_log.txt
86,2.8800,5,7,1,1,4.8200,0.3600,8.4200,C1_Z1_X5_Y7,competition_0_log.txt
87,2.8700,5,6,2,1,4.7000,0.3900,8.5600,C1_Z2_X5_Y6,competition_0_log.txt
88,2.8700,5,7,1,3,4.5700,0.3700,8.6700,C3_Z1_X5_Y7,competition_0_log.txt
89,2.7300,4,6,1,1,4.6700,0.4000,8.4600,C1_Z1_X4_Y6,competition_0_log.txt
90,2.6200,5,6,4,1,4.6000,0.3400,8.3600,C1_Z4_X5_Y6,competition_0_log.txt
