=================================================================================
                       OPTIMIZATION SWEEP LEADERBOARD
Parameters: X, Y, Z, C | Runs per combo: 100 | Challenge Rand: 0.4
=================================================================================
Rank | Score  | X | Y | Z | C | Stability | Collision | Contenders
  70 | 3.230 | 4 | 6 | 2 | 1 | 4.690     | 0.560     | 9.100     
  71 | 3.180 | 2 | 3 | 1 | 2 | 4.490     | 0.790     | 9.480     
  72 | 3.180 | 2 | 4 | 1 | 2 | 4.380     | 0.670     | 9.470     
  73 | 3.180 | 4 | 6 | 3 | 3 | 4.280     | 0.430     | 9.330     
  74 | 3.170 | 2 | 3 | 1 | 1 | 4.660     | 0.740     | 9.250     
  75 | 3.140 | 3 | 4 | 1 | 1 | 4.930     | 0.520     | 8.730     
  76 | 3.120 | 3 | 4 | 2 | 1 | 4.800     | 0.650     | 8.970     
  77 | 3.110 | 4 | 6 | 2 | 2 | 4.740     | 0.960     | 9.330     
  78 | 3.090 | 5 | 6 | 1 | 1 | 4.900     | 0.190     | 8.380     
  79 | 3.080 | 5 | 6 | 3 | 1 | 4.840     | 0.310     | 8.550     
  80 | 3.080 | 4 | 5 | 3 | 1 | 4.700     | 0.450     | 8.830     
  81 | 3.050 | 5 | 7 | 2 | 2 | 4.640     | 0.310     | 8.720     
  82 | 2.990 | 5 | 7 | 2 | 1 | 4.890     | 0.400     | 8.500     
  83 | 2.970 | 4 | 6 | 1 | 3 | 4.470     | 0.550     | 9.050     
  84 | 2.950 | 3 | 5 | 2 | 1 | 4.800     | 0.600     | 8.750     
  85 | 2.920 | 5 | 7 | 1 | 2 | 4.780     | 0.430     | 8.570     
  86 | 2.880 | 5 | 7 | 1 | 1 | 4.820     | 0.360     | 8.420     
  87 | 2.870 | 5 | 6 | 2 | 1 | 4.700     | 0.390     | 8.560     
  88 | 2.870 | 5 | 7 | 1 | 3 | 4.570     | 0.370     | 8.670     
  89 | 2.730 | 4 | 6 | 1 | 1 | 4.670     | 0.400     | 8.460     
  90 | 2.620 | 5 | 6 | 4 | 1 | 4.600     | 0.340     | 8.360     
